NAMESPACE       NAME                                 ENDPOINTS                                               AGE
cert-manager    cert-manager                         10.0.1.182:9402                                         7d16h
cert-manager    cert-manager-cainjector              10.0.1.67:9402                                          7d16h
cert-manager    cert-manager-webhook                 10.0.1.49:10250,10.0.1.49:9402                          7d16h
default         kubernetes                           10.10.0.3:6443                                          61d
ingress-nginx   ingress-nginx-controller             10.0.1.163:443,10.0.1.163:80                            55d
ingress-nginx   ingress-nginx-controller-admission   10.0.1.163:8443                                         55d
kube-system     cilium-envoy                         10.10.0.2:9964,10.10.0.3:9964                           56d
kube-system     hubble-peer                          10.10.0.2:4244,10.10.0.3:4244,10.10.0.4:4244            56d
kube-system     rke2-coredns-rke2-coredns            10.0.1.104:53,10.0.2.218:53,10.0.1.104:53 + 1 more...   61d
kube-system     rke2-metrics-server                  <none>                                                  56d
poc             mc-poc-amd64                         10.0.1.160:80                                           3d2h
poc             mc-poc-arm64                         <none>                                                  3d3h
poc             mc-poc-proof                         10.0.1.147:80                                           6d23h
poc             mc-poc-roulette                      10.0.1.160:80                                           10h
poc             webtop                               <none>                                                  55d
poc             webtop-a2g                           10.0.1.86:3000                                          7d16h
poc             whoami                               10.0.1.137:80                                           56d
