NAMESPACE       NAME                                 TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE
cert-manager    cert-manager                         ClusterIP   <redacted-ip>      <none>        9402/TCP                     43d
cert-manager    cert-manager-cainjector              ClusterIP   <redacted-ip>   <none>        9402/TCP                     43d
cert-manager    cert-manager-webhook                 ClusterIP   <redacted-ip>    <none>        443/TCP,9402/TCP             43d
default         code-server                          ClusterIP   <redacted-ip>    <none>        8080/TCP                     8d
default         kubernetes                           ClusterIP   <redacted-ip>       <none>        443/TCP                      96d
kube-system     cilium-envoy                         ClusterIP   None            <none>        9964/TCP                     92d
kube-system     hubble-peer                          ClusterIP   <redacted-ip>   <none>        443/TCP                      92d
kube-system     rke2-coredns-rke2-coredns            ClusterIP   <redacted-ip>      <none>        53/UDP,53/TCP                96d
kube-system     rke2-metrics-server                  ClusterIP   <redacted-ip>    <none>        443/TCP                      92d
poc             mc-poc-amd64                         ClusterIP   <redacted-ip>     <none>        80/TCP                       38d
poc             mc-poc-proof                         ClusterIP   <redacted-ip>   <none>        80/TCP                       42d
poc             mc-poc-roulette                      ClusterIP   <redacted-ip>     <none>        80/TCP                       35d
poc             poc-metrics                          ClusterIP   <redacted-ip>    <none>        80/TCP                       22d
poc             uc-maintenance                       ClusterIP   <redacted-ip>     <none>        80/TCP                       22d
poc             webtop-a2g                           ClusterIP   <redacted-ip>    <none>        80/TCP                       43d
poc             webtop-a2g-debian                    ClusterIP   <redacted-ip>    <none>        80/TCP                       32d
poc             whoami                               NodePort    <redacted-ip>    <none>        80:32180/TCP                 91d
traefik         traefik                              NodePort    <redacted-ip>    <none>        80:32080/TCP,443:32443/TCP   14d
web             poc-metrics                          ClusterIP   <redacted-ip>    <none>        80/TCP                       22d
web             uc-maintenance                       ClusterIP   <redacted-ip>   <none>        80/TCP                       22d
