NAMESPACE            NAME                                                   DATA   AGE
cert-manager         kube-root-ca.crt                                       1      14d
cilium-secrets       kube-root-ca.crt                                       1      63d
default              kube-root-ca.crt                                       1      67d
ingress-nginx        ingress-nginx-controller                               1      61d
ingress-nginx        kube-root-ca.crt                                       1      61d
kube-node-lease      kube-root-ca.crt                                       1      67d
kube-public          kube-root-ca.crt                                       1      67d
kube-system          chart-content-rke2-coredns                             1      67d
kube-system          chart-content-rke2-ingress-nginx                       1      20d
kube-system          chart-content-rke2-metrics-server                      1      67d
kube-system          chart-content-rke2-runtimeclasses                      1      67d
kube-system          chart-content-rke2-snapshot-controller                 1      67d
kube-system          chart-content-rke2-snapshot-controller-crd             1      67d
kube-system          cilium-config                                          145    63d
kube-system          cilium-envoy-config                                    1      63d
kube-system          cluster-dns                                            2      67d
kube-system          extension-apiserver-authentication                     6      67d
kube-system          kube-apiserver-legacy-service-account-token-tracking   1      67d
kube-system          kube-root-ca.crt                                       1      67d
kube-system          rke2-coredns-rke2-coredns                              1      67d
kube-system          rke2-coredns-rke2-coredns-autoscaler                   1      67d
local-path-storage   kube-root-ca.crt                                       1      63d
local-path-storage   local-path-config                                      4      63d
poc                  ingress-headers                                        1      131m
poc                  kube-root-ca.crt                                       1      62d
poc                  webtop-nginx                                           1      61d
