NAMESPACE       NAME                                 ENDPOINTS                                      AGE
cert-manager    cert-manager                         10.0.0.166:9402                                14d
cert-manager    cert-manager-cainjector              10.0.0.231:9402                                14d
cert-manager    cert-manager-webhook                 10.0.0.42:10250,10.0.0.42:9402                 14d
default         kubernetes                           10.10.0.3:6443                                 67d
ingress-nginx   ingress-nginx-controller             10.0.1.94:443,10.0.1.94:80                     61d
ingress-nginx   ingress-nginx-controller-admission   10.0.1.94:8443                                 61d
kube-system     cilium-envoy                         10.10.0.2:9964,10.10.0.3:9964,10.10.0.4:9964   63d
kube-system     hubble-peer                          10.10.0.2:4244,10.10.0.3:4244,10.10.0.4:4244   63d
kube-system     rke2-coredns-rke2-coredns            10.0.0.252:53,10.0.0.252:53                    67d
kube-system     rke2-metrics-server                  <none>                                         63d
poc             mc-poc-amd64                         10.0.1.67:80                                   9d
poc             mc-poc-arm64                         <none>                                         9d
poc             mc-poc-proof                         10.0.1.75:80                                   13d
poc             mc-poc-roulette                      10.0.1.67:80                                   6d23h
poc             webtop                               <none>                                         61d
poc             webtop-a2g                           10.0.1.162:3000                                14d
poc             webtop-a2g-debian                    10.0.1.33:3000                                 3d16h
poc             whoami                               10.0.0.33:80                                   62d
