NAMESPACE       NAME                                 TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE
cert-manager    cert-manager                         ClusterIP   10.43.1.37      <none>        9402/TCP                     14d
cert-manager    cert-manager-cainjector              ClusterIP   10.43.221.222   <none>        9402/TCP                     14d
cert-manager    cert-manager-webhook                 ClusterIP   10.43.89.247    <none>        443/TCP,9402/TCP             14d
default         kubernetes                           ClusterIP   10.43.0.1       <none>        443/TCP                      67d
ingress-nginx   ingress-nginx-controller             NodePort    10.43.191.221   <none>        80:31584/TCP,443:31094/TCP   61d
ingress-nginx   ingress-nginx-controller-admission   ClusterIP   10.43.141.36    <none>        443/TCP                      61d
kube-system     cilium-envoy                         ClusterIP   None            <none>        9964/TCP                     63d
kube-system     hubble-peer                          ClusterIP   10.43.251.177   <none>        443/TCP                      63d
kube-system     rke2-coredns-rke2-coredns            ClusterIP   10.43.0.10      <none>        53/UDP,53/TCP                67d
kube-system     rke2-metrics-server                  ClusterIP   10.43.68.229    <none>        443/TCP                      63d
poc             mc-poc-amd64                         ClusterIP   10.43.82.16     <none>        80/TCP                       9d
poc             mc-poc-arm64                         ClusterIP   10.43.28.197    <none>        80/TCP                       9d
poc             mc-poc-proof                         ClusterIP   10.43.100.160   <none>        80/TCP                       13d
poc             mc-poc-roulette                      ClusterIP   10.43.77.24     <none>        80/TCP                       6d23h
poc             webtop                               ClusterIP   10.43.246.113   <none>        80/TCP                       61d
poc             webtop-a2g                           ClusterIP   10.43.83.235    <none>        80/TCP                       14d
poc             webtop-a2g-debian                    ClusterIP   10.43.110.36    <none>        80/TCP                       3d16h
poc             whoami                               NodePort    10.43.133.11    <none>        80:32180/TCP                 62d
